tag mll pt1 eta1 pt2 eta2 pt3 eta3 pt4 eta4 met
g 132.268204313 66.5321 1.59228 55.157 0.723318 NA NA NA NA 357.804
e 87.2583059159 54.6605 0.974872 26.2476 2.06936 NA NA NA NA 466.577
e 94.2423829139 38.0515 2.19265 18.6515 0.154294 NA NA NA NA 446.898
g 148.281508119 42.5613 1.25314 35.564 1.2696 NA NA NA NA 1841.27
g 126.341892332 53.0949 1.88263 38.0118 0.000520066 NA NA NA NA 607.758
e 87.6474974039 56.239 0.989986 34.4054 0.903778 NA NA NA NA 407.985
g 105.302007085 55.2691 0.617071 45.1507 0.113096 NA NA NA NA 344.875
e 87.1670759531 53.4459 0.218752 34.0108 0.220711 NA NA NA NA 304.147
m 90.1289230551 43.0518 0.725715 39.2724 0.161441 NA NA NA NA 375.109
g 136.727113601 73.4546 2.26774 32.9774 0.299491 NA NA NA NA 796.072
m 80.4289962793 42.8356 1.35749 37.5036 1.55607 NA NA NA NA 453.266
m 92.4282128746 48.1216 1.49848 37.9552 0.688968 NA NA NA NA 467.814
g 141.151617195 96.8392 0.71125 49.5942 1.09753 NA NA NA NA 551.476
m 808.852351704 382.804 1.93177 286.358 0.604952 NA NA NA NA 358.195
e 10.5155855309 23.6435 0.0195647 13.4992 0.212123 NA NA NA NA 220.173
m 90.0434957891 45.6993 1.75603 40.4875 1.14675 NA NA NA NA 420.882
m 924.682472123 491.671 0.988863 402.168 1.56066 NA NA NA NA 286.516
m 77.2063897093 48.1114 1.84126 27.8453 0.994882 NA NA NA NA 423.884
m 90.8921290257 53.0007 0.279187 34.7885 1.09932 NA NA NA NA 349.808
g 141.280245024 72.745 2.21938 50.1937 1.06582 NA NA NA NA 505.322
e 89.0575008692 43.9374 0.00696951 35.0592 1.02108 NA NA NA NA 339.984
g 111.68551425 48.6403 0.807957 49.712 0.238493 NA NA NA NA 589.774
g 105.02397264 53.0381 0.875872 52.5525 1.07257 NA NA NA NA 413.826
m 90.918095617 56.0639 1.03028 36.0374 0.442651 NA NA NA NA 620.493
e 108.80757832 78.3294 1.62033 37.2291 1.96269 NA NA NA NA 674.933
g 109.847305639 80.3243 1.59154 36.85 1.96239 NA NA NA NA 674.933
g 107.322109674 49.6645 0.74125 47.8446 0.149631 NA NA NA NA 882.899
m 88.9764033093 45.4673 0.226737 44.2256 0.0208936 NA NA NA NA 611.683
e 2.98962547434 29.3666 1.1542 10.2898 1.24952 NA NA NA NA 236.048
g 133.379412443 55.7694 0.146844 39.3717 1.64642 NA NA NA NA 326.211
m 91.8441084665 52.993 0.282556 20.1326 1.46841 NA NA NA NA 169.112
m 95.2468085847 34.4739 0.0994939 33.5914 1.63715 NA NA NA NA 508.422
