mass v1 v2 v3 v4 v5 v6 tag
mass tag
91.1918673148 e
84.2072016162 m
1551.26521731 4me
91.9859475378 e
95.4017809398 m
1568.44680706 4me
90.6856060379 e
91.0521700376 m
1523.8343225 4me
103.485157175 e
96.4443566408 m
1692.54084005 4me
1120.88564302 4mm
93.3312807634 e
88.3490429377 m
1575.91315008 4me
2122.28271078 4mm
110.014979991 g
90.7438862813 m
84.0768970257 e
96.4054100476 m
1531.42091337 4me
1985.99566044 4ee
1602.72240516 4mm
90.4769047392 e
86.592237802 m
1634.8331732 4me
89.1679128632 e
81.7181487075 m
1415.65961907 4me
1488.38879057 4ee
1453.46624527 4ee
73.9684347081 m
89.0801289437 e
83.8017751384 m
1358.39306563 4me
93.4477921115 e
104.394300128 m
1626.74554672 4me
1406.14416081 4mm
91.6773850425 e
95.3459500768 m
1609.08010745 4me
80.7958290667 e
101.045449091 m
1642.49527099 4me
87.1217217837 e
86.4467282565 m
1373.76900166 4me
86.0011365075 m
89.4799996406 m
85.1768343231 m
1527.96755937 4mm
55.9117961083 m
89.4766964571 e
106.479064085 m
1529.03113789 4me
82.3911764384 e
85.9457379505 m
1267.59429176 4me
94.5748957256 e
94.1049523158 m
1348.78545026 4me
1434.75692958 4mm
1468.05791611 4ee
1592.63413919 4mm
93.8184274371 e
103.981901957 e
91.836595773 m
1356.78047831 4me
105.890153178 e
87.7706471128 m
1002.8024012 4me
1423.58811651 4mm
92.2259061363 e
94.8474641676 m
1430.18235301 4me
93.033913388 m
75.2361743619 e
90.165022644 m
894.10639515 4me
90.6810289478 e
92.9495869503 e
